Row,Col,X,Y,Value
6,63,443440.27592863643,3264760.8590573203,97.806404
6,64,443527.5870923324,3264760.8590573203,78.888954
6,65,443614.8982560284,3264760.8590573203,79.49593
6,66,443702.2094197244,3264760.8590573203,79.67201
6,67,443789.5205834204,3264760.8590573203,67.917015
6,68,443876.8317471164,3264760.8590573203,58.81098
6,69,443964.1429108124,3264760.8590573203,54.381084
6,70,444051.4540745084,3264760.8590573203,-3.402823e+38
7,1,438026.98377948476,3264673.5478936248,227.0798
7,2,438114.29494318075,3264673.5478936248,151.96321
7,3,438201.60610687674,3264673.5478936248,148.03423
7,4,438288.91727057274,3264673.5478936248,129.16089
7,5,438376.22843426873,3264673.5478936248,111.738464
7,6,438463.53959796473,3264673.5478936248,122.3577
7,7,438550.8507616607,3264673.5478936248,131.2965
7,8,438638.1619253567,3264673.5478936248,147.5067
7,9,438725.4730890527,3264673.5478936248,154.06886
7,10,438812.7842527487,3264673.5478936248,107.85751
7,11,438900.0954164447,3264673.5478936248,81.5958
7,12,438987.4065801407,3264673.5478936248,75.95354
7,13,439074.7177438367,3264673.5478936248,73.16677
7,14,439162.0289075327,3264673.5478936248,86.81936
7,15,439249.3400712287,3264673.5478936248,55.786285
7,16,439336.6512349247,3264673.5478936248,116.5515
7,17,439423.9623986207,3264673.5478936248,106.6934
7,18,439511.27356231667,3264673.5478936248,108.718094
7,19,439598.58472601266,3264673.5478936248,106.46068
7,20,439685.89588970866,3264673.5478936248,104.40524
7,21,439773.20705340465,3264673.5478936248,93.74932
7,22,439860.51821710065,3264673.5478936248,86.89679
7,23,439947.82938079664,3264673.5478936248,71.03936
7,24,440035.14054449263,3264673.5478936248,92.53476
7,25,440122.45170818863,3264673.5478936248,92.675385
7,26,440209.7628718846,3264673.5478936248,77.40247
7,27,440297.0740355806,3264673.5478936248,87.27281
7,28,440384.3851992766,3264673.5478936248,135.0737
7,29,440471.6963629726,3264673.5478936248,150.20433
7,30,440559.0075266686,3264673.5478936248,147.95256
7,31,440646.3186903646,3264673.5478936248,142.41049
7,32,440733.6298540606,3264673.5478936248,-3.402823e+38
7,33,440820.9410177566,3264673.5478936248,-3.402823e+38
7,34,440908.2521814526,3264673.5478936248,-3.402823e+38
7,35,440995.5633451486,3264673.5478936248,-3.402823e+38
7,36,441082.8745088446,3264673.5478936248,-3.402823e+38
7,37,441170.18567254057,3264673.5478936248,-3.402823e+38
7,38,441257.49683623656,3264673.5478936248,-3.402823e+38
7,39,441344.80799993256,3264673.5478936248,-3.402823e+38
7,40,441432.11916362855,3264673.5478936248,-3.402823e+38
7,41,441519.43032732455,3264673.5478936248,-3.402823e+38
7,42,441606.74149102054,3264673.5478936248,-3.402823e+38
7,43,441694.05265471654,3264673.5478936248,-3.402823e+38
7,44,441781.36381841253,3264673.5478936248,-3.402823e+38
7,45,441868.6749821085,3264673.5478936248,-3.402823e+38
7,46,441955.9861458045,3264673.5478936248,-3.402823e+38
7,47,442043.2973095005,3264673.5478936248,-3.402823e+38
7,48,442130.6084731965,3264673.5478936248,-3.402823e+38
7,49,442217.9196368925,3264673.5478936248,153.60175
7,50,442305.2308005885,3264673.5478936248,118.29177
7,51,442392.5419642845,3264673.5478936248,181.23405
7,52,442479.8531279805,3264673.5478936248,188.01163
7,53,442567.1642916765,3264673.5478936248,152.71626
7,54,442654.4754553725,3264673.5478936248,119.220436
7,55,442741.7866190685,3264673.5478936248,143.679
7,56,442829.09778276447,3264673.5478936248,132.39238
7,57,442916.40894646046,3264673.5478936248,123.968925
7,58,443003.72011015646,3264673.5478936248,128.95633
7,59,443091.03127385245,3264673.5478936248,125.36471
7,60,443178.34243754845,3264673.5478936248,105.970955
7,61,443265.65360124444,3264673.5478936248,114.94751
7,62,443352.96476494044,3264673.5478936248,113.19649
7,63,443440.27592863643,3264673.5478936248,98.502846
7,64,443527.5870923324,3264673.5478936248,78.888954
7,65,443614.8982560284,3264673.5478936248,79.49593
7,66,443702.2094197244,3264673.5478936248,79.67201
7,67,443789.5205834204,3264673.5478936248,67.917015
7,68,443876.8317471164,3264673.5478936248,58.81098
